"","gemeinde_nummer","gemeinde_name_x","total_2026","gemeinde_name_y","total_2025","diff","pourc_diff","abs_pourc_diff"
"848",119,"Seegräben",24.14,"Seegräben",27.51,3.37,12.25,12.25
"849",91,"Niederweningen",24.14,"Niederweningen",27.51,3.37,12.25,12.25
"850",226,"Schlatt (ZH)",24.14,"Schlatt (ZH)",27.51,3.37,12.25,12.25
"851",38,"Rheinau",24.14,"Rheinau",27.51,3.37,12.25,12.25
"852",41,"Truttikon",24.14,"Truttikon",27.51,3.37,12.25,12.25
"853",9,"Mettmenstetten",24.14,"Mettmenstetten",27.51,3.37,12.25,12.25
"854",220,"Hagenbuch",24.14,"Hagenbuch",27.51,3.37,12.25,12.25
"855",231,"Zell (ZH)",24.14,"Zell (ZH)",27.51,3.37,12.25,12.25
"856",291,"Andelfingen",24.14,"Andelfingen",24.9,0.77,3.09,3.09
"857",4,"Hausen am Albis",24.14,"Hausen am Albis",27.51,3.37,12.25,12.25
"858",71,"Wil (ZH)",24.14,"Wil (ZH)",27.51,3.37,12.25,12.25
"859",112,"Bubikon",24.14,"Bubikon",27.23,3.09,11.35,11.35
"860",51,"Bachenbülach",24.14,"Bachenbülach",27.51,3.37,12.25,12.25
"861",56,"Embrach",24.14,"Embrach",27.51,3.37,12.25,12.25
"862",58,"Glattfelden",24.14,"Glattfelden",29.43,5.29,17.97,17.97
"863",225,"Rickenbach (ZH)",24.14,"Rickenbach (ZH)",27.51,3.37,12.25,12.25
"864",248,"Uitikon",24.14,"Uitikon",27.51,3.37,12.25,12.25
"865",111,"Bäretswil",24.14,"Bäretswil",27.51,3.37,12.25,12.25
"866",195,"Maur",24.14,"Maur",27.51,3.37,12.25,12.25
"867",26,"Dorf",24.14,"Dorf",27.51,3.37,12.25,12.25
"868",13,"Stallikon",24.14,"Stallikon",27.51,3.37,12.25,12.25
"869",294,"Elgg",24.14,"Elgg",27.51,3.37,12.25,12.25
"870",115,"Gossau (ZH)",24.14,"Gossau (ZH)",28.08,3.94,14.03,14.03
"871",61,"Hüntwangen",24.14,"Hüntwangen",27.51,3.37,12.25,12.25
"872",136,"Langnau am Albis",24.14,"Langnau am Albis",27.51,3.37,12.25,12.25
"873",242,"Birmensdorf (ZH)",24.14,"Birmensdorf (ZH)",27.51,3.37,12.25,12.25
"874",216,"Dinhard",24.14,"Dinhard",27.51,3.37,12.25,12.25
"875",2,"Affoltern am Albis",24.14,"Affoltern am Albis",27.51,3.37,12.25,12.25
"876",241,"Aesch (ZH)",24.14,"Aesch (ZH)",27.51,3.37,12.25,12.25
"877",60,"Höri",24.14,"Höri",27.51,3.37,12.25,12.25
"878",31,"Henggart",24.14,"Henggart",27.51,3.37,12.25,12.25
"879",81,"Bachs",24.14,"Bachs",27.51,3.37,12.25,12.25
"880",65,"Oberembrach",24.14,"Oberembrach",27.51,3.37,12.25,12.25
"881",197,"Schwerzenbach",24.14,"Schwerzenbach",27.51,3.37,12.25,12.25
"882",93,"Oberweningen",24.14,"Oberweningen",27.51,3.37,12.25,12.25
"883",113,"Dürnten",24.14,"Dürnten",30.94,6.8,21.98,21.98
"884",160,"Zumikon",24.14,"Zumikon",27.51,3.37,12.25,12.25
"885",57,"Freienstein-Teufen",24.14,"Freienstein-Teufen",27.51,3.37,12.25,12.25
"886",37,"Ossingen",24.14,"Ossingen",27.51,3.37,12.25,12.25
"887",138,"Richterswil",24.14,"Richterswil",27.51,3.37,12.25,12.25
