"","gemeinde_nummer","gemeinde_f","total","tooltip"
"86",5422,"Aubonne",36,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Société Electrique des Forces de l'Aubonne SA (SEFA¢$/td£$td style='background-color:#d13728@color:black@text-align:right@'£36$/td£$td style='text-align:right@'£16.96$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£15.42$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"87",2061,"Auboranges",28.9,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Groupe E SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.9$/td£$td style='text-align:right@'£14.88$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£11.72$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"88",4091,"Auenstein",29.93,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£AEW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£29.93$/td£$td style='text-align:right@'£15.09$/td£$td style='text-align:right@'£0.67$/td£$td style='text-align:right@'£11.88$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"89",2822,"Augst",31.54,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£EBL (Genossenschaft Elektra Baselland¢$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£31.54$/td£$td style='text-align:right@'£13.05$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£16.2$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"90",6191,"Ausserberg",24.47,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£VED Visp Energie Dienste AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£24.47$/td£$td style='text-align:right@'£12.44$/td£$td style='text-align:right@'£0.95$/td£$td style='text-align:right@'£8.78$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"91",322,"Auswil",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"92",2173,"Autigny",28.9,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Groupe E SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.9$/td£$td style='text-align:right@'£14.88$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£11.72$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"93",4223,"Auw",35.29,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektra Genossenschaft Auw$/td£$td style='background-color:#d13728@color:black@text-align:right@'£35.29$/td£$td style='text-align:right@'£21.3$/td£$td style='text-align:right@'£0.27$/td£$td style='text-align:right@'£11.43$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"94",5324,"Avegno Gordevio",34.04,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Società Elettrica Sopracenerina SA (Ticino¢$/td£$td style='background-color:#d13728@color:black@text-align:right@'£34.04$/td£$td style='text-align:right@'£13.75$/td£$td style='text-align:right@'£2.23$/td£$td style='text-align:right@'£15.76$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"95",5451,"Avenches",30.22,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Groupe E SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.22$/td£$td style='text-align:right@'£14.88$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£11.72$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"96",3681,"Avers",13.79,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Gemeinde Andeer§ Elektrizitätswesen$/td£$td style='background-color:#436b88@color:white@text-align:right@'£13.79$/td£$td style='text-align:right@'£6.21$/td£$td style='text-align:right@'£4.5$/td£$td style='text-align:right@'£0.78$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"97",2174,"Avry",28.9,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Groupe E SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.9$/td£$td style='text-align:right@'£14.88$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£11.72$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"98",6603,"Avully",25.13,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Services industriels de Genève$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£25.13$/td£$td style='text-align:right@'£10.5$/td£$td style='text-align:right@'£1.41$/td£$td style='text-align:right@'£10.92$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"99",6604,"Avusy",25.13,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Services industriels de Genève$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£25.13$/td£$td style='text-align:right@'£10.5$/td£$td style='text-align:right@'£1.41$/td£$td style='text-align:right@'£10.92$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"100",6082,"Ayent",28.53,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£OIKEN SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.53$/td£$td style='text-align:right@'£16.4$/td£$td style='text-align:right@'£1.03$/td£$td style='text-align:right@'£8.8$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"101",1701,"Baar",28.84,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£WWZ Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.84$/td£$td style='text-align:right@'£13.65$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£12.89$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"102",51,"Bachenbülach",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"103",81,"Bachs",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"104",3291,"Bad Ragaz",30.67,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£St. Gallisch-Appenzellische Kraftwerke AG$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£30.67$/td£$td style='text-align:right@'£15.94$/td£$td style='text-align:right@'£0.6$/td£$td style='text-align:right@'£11.83$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"105",4021,"Baden",30.24,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Regionalwerke AG Baden$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.24$/td£$td style='text-align:right@'£14.3$/td£$td style='text-align:right@'£0.43$/td£$td style='text-align:right@'£13.21$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"106",5242,"Balerna",31.43,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£AGE SA$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£31.43$/td£$td style='text-align:right@'£14.05$/td£$td style='text-align:right@'£2.23$/td£$td style='text-align:right@'£12.85$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"107",3232,"Balgach",26.99,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Gemeinde Balgach§ Elektrizitätsversorgung$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£26.99$/td£$td style='text-align:right@'£12.17$/td£$td style='text-align:right@'£1.95$/td£$td style='text-align:right@'£10.57$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"108",5744,"Ballaigues",32.45,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£VOé distribution SA$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.45$/td£$td style='text-align:right@'£12.41$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£16.42$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"109",5423,"Ballens",30.36,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Romande Energie SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.36$/td£$td style='text-align:right@'£12.81$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£13.93$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"110",1023,"Ballwil",21.29,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£CKW AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£21.29$/td£$td style='text-align:right@'£8.5$/td£$td style='text-align:right@'£0.95$/td£$td style='text-align:right@'£9.54$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"111",2541,"Balm bei Günsberg",28.2,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.2$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.1$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"112",2422,"Balsthal",33,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Aare Versorgungs AG (AVAG¢$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£33$/td£$td style='text-align:right@'£16.39$/td£$td style='text-align:right@'£1.15$/td£$td style='text-align:right@'£13.16$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"113",6281,"Baltschieder",24.47,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£VED Visp Energie Dienste AG$/td£$td style='background-color:#436b88@color:white@text-align:right@'£24.47$/td£$td style='text-align:right@'£12.44$/td£$td style='text-align:right@'£0.95$/td£$td style='text-align:right@'£8.78$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"114",323,"Bannwil",29.1,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£29.1$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£2$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"115",6605,"Bardonnex",25.13,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Services industriels de Genève$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£25.13$/td£$td style='text-align:right@'£10.5$/td£$td style='text-align:right@'£1.41$/td£$td style='text-align:right@'£10.92$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"116",302,"Bargen (BE)",35.15,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Gemeinde Bargen BE§ Elektrizitätsversorgung$/td£$td style='background-color:#d13728@color:black@text-align:right@'£35.15$/td£$td style='text-align:right@'£15.5$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£15.85$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"117",2931,"Bargen (SH)",32.52,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerk des Kantons Schaffhausen AG$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.52$/td£$td style='text-align:right@'£13.62$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£16.6$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"118",2162,"Bas-Intyamon",28.9,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Groupe E SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.9$/td£$td style='text-align:right@'£14.88$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£11.72$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"119",4536,"Basadingen-Schlattingen",32.02,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Politische Gemeinde Basadingen-Schlattingen § Elektrizität$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.02$/td£$td style='text-align:right@'£16$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£13.72$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"120",2701,"Bâle",33.86,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£IWB Industrielle Werke Basel$/td£$td style='background-color:#d13728@color:black@text-align:right@'£33.86$/td£$td style='text-align:right@'£10.89$/td£$td style='text-align:right@'£7.5$/td£$td style='text-align:right@'£13.16$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"121",6807,"Basse-Allaine",28.8,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.8$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.7$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"122",6812,"Basse-Vendline",28.8,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.8$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.7$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"123",52,"Bassersdorf",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"124",5703,"Bassins",30.36,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Romande Energie SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.36$/td£$td style='text-align:right@'£12.81$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£13.93$/td£$td style='text-align:right@'£2.3$/td£$/tr£$tr£$td£Société Electrique Intercommunale de la Côte SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.9$/td£$td style='text-align:right@'£11.83$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£13.45$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"125",5745,"Baulmes",30.36,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Romande Energie SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.36$/td£$td style='text-align:right@'£12.81$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£13.93$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"126",297,"Bauma",27.51,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerke des Kantons Zürich (EKZ¢$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£27.51$/td£$td style='text-align:right@'£15.73$/td£$td style='text-align:right@'£0.16$/td£$td style='text-align:right@'£9.31$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"127",5746,"Bavois",30.36,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Romande Energie SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£30.36$/td£$td style='text-align:right@'£12.81$/td£$td style='text-align:right@'£1.32$/td£$td style='text-align:right@'£13.93$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"128",571,"Beatenberg",28.6,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£BKW Energie AG$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£28.6$/td£$td style='text-align:right@'£11.39$/td£$td style='text-align:right@'£1.5$/td£$td style='text-align:right@'£13.41$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"129",1501,"Beckenried",25.32,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Gemeindewerk Beckenried$/td£$td style='background-color:#b0dac2@color:black@text-align:right@'£25.32$/td£$td style='text-align:right@'£10.08$/td£$td style='text-align:right@'£0.5$/td£$td style='text-align:right@'£12.44$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"130",5148,"Bedano",27.78,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Aziende Industriali di Lugano (AIL¢ SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.78$/td£$td style='text-align:right@'£11.25$/td£$td style='text-align:right@'£2.23$/td£$td style='text-align:right@'£12$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"131",5149,"Bedigliora",27.78,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Aziende Industriali di Lugano (AIL¢ SA$/td£$td style='background-color:#e6cc84@color:black@text-align:right@'£27.78$/td£$td style='text-align:right@'£11.25$/td£$td style='text-align:right@'£2.23$/td£$td style='text-align:right@'£12$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
"132",2951,"Beggingen",32.52,"$table style='width:100%@'£$thead£$tr style='background-color:#f0f0f0@'£$th£Fournisseur$/th£$th£Total$/th£$th£Énergie$/th£$th£Taxes$/th£$th£Utilisation du réseau$/th£$th£Supplément de réseau$/th£$/tr£$/thead£$tbody£$tr£$td£Elektrizitätswerk des Kantons Schaffhausen AG$/td£$td style='background-color:#ee923c@color:black@text-align:right@'£32.52$/td£$td style='text-align:right@'£13.62$/td£$td style='text-align:right@'£0$/td£$td style='text-align:right@'£16.6$/td£$td style='text-align:right@'£2.3$/td£$/tr£$/tbody£$/table£"
